Image Name,Site,Location,Trigger,Date,Time,Moon Phase,Illum,Label,Contrast,Brightness,Sharpness,Saturation,Sensitivity,Temp,Battery(Volts),Serial #,Narrative,Firmware,Image Path, Location Latitude, Location Longitude, Ir, Vir, Original File Name,Tags
2016-09-27 02-28-39 M 1_3.JPG,SC04,SC0400M_20161214,M 1/3,9/27/2016,2:28:39 AM,Waning Crescent,On,SC0400M,160,0,32,154,75,77,9.8,H550HF07158954,,3.4.0.20120702,C:\Users\ebola\Pictures\RECONYX Images\SC04\SC0400M_20161214\2016-09-27 02-28-39 M 1_3.JPG,,,,,,"Target
Island Fox"
2016-09-27 02-28-40 M 2_3.JPG,SC04,SC0400M_20161214,M 2/3,9/27/2016,2:28:40 AM,Waning Crescent,On,SC0400M,160,0,32,154,75,77,9.9,H550HF07158954,,3.4.0.20120702,C:\Users\ebola\Pictures\RECONYX Images\SC04\SC0400M_20161214\2016-09-27 02-28-40 M 2_3.JPG,,,,,,Island Fox
2016-09-27 02-28-40 M 3_3.JPG,SC04,SC0400M_20161214,M 3/3,9/27/2016,2:28:40 AM,Waning Crescent,On,SC0400M,160,0,32,154,75,77,9.9,H550HF07158954,,3.4.0.20120702,C:\Users\ebola\Pictures\RECONYX Images\SC04\SC0400M_20161214\2016-09-27 02-28-40 M 3_3.JPG,,,,,,Island Fox
